dataset,z,y,x,value
Confocal,14,1223,1345,0
Confocal,119,1972,1231,0
Confocal,130,329,1386,0
Confocal,69,1658,1048,0
Confocal,114,85,470,0
Confocal,31,466,1000,0
Confocal,111,427,2017,0
Confocal,79,1126,1315,0
Confocal,13,1707,1683,0
Confocal,101,939,363,0
Confocal,67,240,723,0
Confocal,133,169,650,0
Confocal,77,1135,1458,0
Confocal,151,453,1137,0
Confocal,13,658,1194,0
Confocal,81,1237,992,0
Confocal,117,2000,378,0
Confocal,19,1756,801,0
Confocal,68,53,1164,0
Confocal,108,188,1030,0
2P,151,521,390,0
2P,140,469,116,0
2P,39,366,14,0
2P,191,166,356,0
2P,164,442,741,0
2P,149,137,397,0
2P,25,82,527,0
2P,17,369,665,0
2P,128,221,748,0
2P,100,444,228,0
2P,84,653,173,0
2P,16,634,5,0
2P,88,206,549,0
2P,168,213,658,0
2P,18,344,51,0
2P,144,155,443,0
2P,154,51,336,0
2P,86,15,90,0
2P,136,513,66,0
2P,103,142,302,0
