dataset,z_um,y_um,x_um
Confocal (HCR),8.49741939064321,114.0399694529848,293.617603127939
Confocal (HCR),12.47441180650007,131.59673121207445,311.24990436584716
Confocal (HCR),10.307038834951456,135.41279081108414,312.9190098375809
Confocal (HCR),9.753396269859545,137.5314098097801,309.4870401997179
Confocal (HCR),2.0425531914893615,136.78632349999998,318.3142685212766
Confocal (HCR),5.206078379098907,136.49165764756066,319.29034452159425
Confocal (HCR),2.9951620706337687,184.09863184155782,189.01304739235607
Confocal (HCR),4.8128457283343575,194.49051216917638,226.91789800399508
Confocal (HCR),4.027958740499457,214.32965211563516,243.92782368078173
Confocal (HCR),4.9496,247.26330253189997,231.3381364391
Confocal (HCR),3.720735785953177,138.81721244899663,320.7329359439799
Confocal (HCR),5.707297514033681,156.39062155172414,301.43799188011224
Confocal (HCR),6.951219512195122,125.85237841768293,307.24335055335365
Confocal (HCR),8.834570191713048,245.75616869635127,239.02733001561535
Confocal (HCR),9.184713375796179,157.85234013057322,301.7593844522293
Confocal (HCR),6.766666666666667,127.26248059166666,306.46501836666664
Confocal (HCR),10.34291652234153,214.82111813283686,239.59242202736405
Confocal (HCR),6.913978494623656,224.15061697043012,286.3190156182796
Confocal (HCR),24.33510451944412,285.9803811581659,127.02847398664309
Confocal (HCR),12.99809885931559,248.40395926679338,231.40100078168567
Confocal (HCR),17.614415287682615,289.32972234656927,186.93143226061065
Confocal (HCR),27.74767044114178,267.26719636786385,127.57153261625677
Confocal (HCR),14.282412626832018,231.2630123895152,179.6448275870913
Confocal (HCR),10.772727272727273,231.80146134848482,181.54835371969696
Confocal (HCR),17.476457113769406,292.54213305790273,190.8161634455332
Confocal (HCR),10.948717948717949,194.67076591025642,226.51625700641026
Confocal (HCR),13.83053040103493,223.02496809637773,181.79334630918498
Confocal (HCR),21.954062430816915,135.1088006402756,303.08725230263445
Confocal (HCR),20.998648191956743,141.8006316249859,302.43687675785736
Confocal (HCR),11.0,156.18225977777777,302.50511080555555
Confocal (HCR),12.674418604651162,217.78070265116276,241.03297777906974
Confocal (HCR),24.61122577686045,252.1246322835684,144.06438422715283
Confocal (HCR),24.482262245872562,305.7063994851958,151.25100953411106
Confocal (HCR),13.241645244215938,306.2368908663239,148.9948621118252
Confocal (HCR),17.549433731251913,218.12253038735844,184.92942584925007
Confocal (HCR),13.23076923076923,220.19612319230768,182.0757371346154
Confocal (HCR),19.27332123411978,256.5575055928312,211.05105558076224
Confocal (HCR),28.65947464172864,292.3933390745268,112.45435693426639
Confocal (HCR),30.708091221493284,304.6561486205248,113.63110998597311
Confocal (HCR),13.272727272727273,305.46240927272726,147.2288054181818
Confocal (HCR),27.583437892095358,318.60058636619965,162.29942365401504
Confocal (HCR),17.510277777777777,249.91185337819442,212.07271105763888
Confocal (HCR),13.470588235294118,248.66466699999998,228.94584949999998
Confocal (HCR),18.137030995106034,249.6838760783034,231.53992283849917
Confocal (HCR),14.567901234567902,258.4484805432099,210.5851831728395
Confocal (HCR),20.221682567215957,260.47280654431916,196.88530433252382
Confocal (HCR),18.931535269709542,205.47597806172197,181.9149194732884
Confocal (HCR),22.753686934023285,245.26943758305305,213.1191858217335
Confocal (HCR),21.374399359316605,278.7076183529098,147.49586279624933
Confocal (HCR),32.872703275329094,331.4604645294015,153.57925431690458
Confocal (HCR),16.346153846153847,201.91886643956042,191.72187700824173
Confocal (HCR),26.673619032100376,300.4167418323285,155.90259949804462
Confocal (HCR),16.705882352941178,200.1795745588235,192.01122229411763
Confocal (HCR),19.181137724550897,215.89153243712576,240.85637571482033
Confocal (HCR),20.25395033860045,258.4174812155756,148.22239426467266
Confocal (HCR),20.284446908788468,201.3339230896867,190.92722817438315
Confocal (HCR),19.84977827050998,246.95281867017738,229.9019900848115
Confocal (HCR),22.889082058414466,250.59216300678023,231.90295040559803
Confocal (HCR),19.651162790697676,259.16849732558137,152.85744134496125
Confocal (HCR),28.363636363636363,299.0701104857235,163.54335317563292
Confocal (HCR),19.96875,305.609238984375,154.72136639062498
Confocal (HCR),31.786243687897052,317.6182819677879,138.95648214324402
Confocal (HCR),19.155555555555555,205.47238464444445,210.12418053888888
Confocal (HCR),30.482447987416887,307.2903535431114,159.59688312079072
Confocal (HCR),21.40740740740741,132.32492502469134,315.0372585617284
Confocal (HCR),29.327358149620526,274.19798702793634,119.86023936772678
Confocal (HCR),26.330024813895783,299.33651690415627,115.04283128163772
Confocal (HCR),30.628020347604917,299.0054385257524,117.82456499364136
Confocal (HCR),31.000218962119554,299.87532662458943,120.25976696496605
Confocal (HCR),24.050847457627118,300.8447742542373,113.8203216016949
Confocal (HCR),30.96808003811339,310.99625736128314,162.61201970239796
Confocal (HCR),21.5609756097561,310.7461758685637,161.97780896341462
Confocal (HCR),34.03516868236792,324.1741490915022,138.18693494167726
Confocal (HCR),28.707306666666668,263.87843904357334,140.82148268128
Confocal (HCR),23.70346598202824,300.1808604229782,114.86580896598201
Confocal (HCR),31.57938777671857,304.0152499824171,124.21719466295943
Confocal (HCR),23.352941176470587,300.84525712745096,121.3694234607843
Confocal (HCR),24.348837209302324,130.88274606976742,302.2819902267442
Confocal (HCR),24.486486486486488,242.94256348648648,214.56766194594596
Confocal (HCR),23.933333333333334,300.91607393333334,117.43881940555555
Confocal (HCR),22.666666666666668,305.2340587753623,123.90215944927535
Confocal (HCR),28.304444444444446,276.9030899307407,139.31801978814815
Confocal (HCR),32.44625407166124,310.24160181270355,159.0594935635179
Confocal (HCR),38.18685462102061,346.22783228623763,141.80012303470585
Confocal (HCR),26.86466165413534,144.35157619736842,305.51837987030075
Confocal (HCR),29.996666666666666,274.20364916,136.98558734
Confocal (HCR),29.317460317460316,300.86599439682533,123.01115625396824
Confocal (HCR),26.952380952380953,203.9390283095238,184.49696614285713
Confocal (HCR),27.868175765645805,205.56324834620506,182.70135995672436
Confocal (HCR),29.936507936507937,205.34455003809524,184.6735624031746
Confocal (HCR),30.92079207920792,300.1473243415841,114.23761421287129
Confocal (HCR),39.08162911611785,300.03647641507797,122.3498036245234
Confocal (HCR),31.69158878504673,300.8162350934579,115.60096138317758
Confocal (HCR),34.22660098522167,313.9683598842364,160.23929300985222
Confocal (HCR),37.75833333333333,321.17629405416665,137.77918325833332
Confocal (HCR),36.37521663778163,290.76469310311955,198.03876596923743
Confocal (HCR),35.39440203562341,289.9070214160305,195.20546598982187
Confocal (HCR),34.05747126436781,316.25022805747125,152.89539255747124
Confocal (HCR),42.53939631517052,304.3260934549196,101.3069352759702
Confocal (HCR),35.73076923076923,289.6031674615385,196.65329209615382
Confocal (HCR),35.44,298.651661796,114.07688786799999
Confocal (HCR),41.19191919191919,310.42303895959594,161.31481323232322
Confocal (HCR),46.51111111111111,306.74177369999995,102.89302034444444
Confocal (HCR),77.62310688013847,211.2852276429035,130.37888665729122
Confocal (HCR),79.1344,225.095490925,138.6725217988
Confocal (HCR),72.23293172690764,295.78976490361447,215.31064773092368
Confocal (HCR),79.15921936653514,295.7738509323344,216.03480147589846
Confocal (HCR),77.35359056806003,300.29148342020363,207.29145770209
Confocal (HCR),79.06711826916431,302.6107225754476,212.66731007676086
Confocal (HCR),80.17678189393087,220.11890938199528,114.60061752927598
Confocal (HCR),73.00395256916995,220.6682123389328,115.47424851778655
Confocal (HCR),88.36545589325426,234.5864234048266,129.09568919349036
Confocal (HCR),79.07834148329259,290.4909026798594,207.12009246317234
Confocal (HCR),78.32972972972973,212.64503516540537,135.53509019837838
Confocal (HCR),73.93478260869566,213.08806972101448,136.0056929673913
Confocal (HCR),75.40425531914893,222.49715581276593,117.19292916170212
Confocal (HCR),75.52049180327869,223.7668951885246,138.4710999477459
Confocal (HCR),81.04415874790385,229.6597436724427,129.72024469452208
Confocal (HCR),79.03261802575108,298.41452642360514,214.4986865939914
Confocal (HCR),78.621387283237,299.2970952268786,203.85369922398843
Confocal (HCR),82.47094306311608,300.81772745777545,201.7720751739738
Confocal (HCR),81.87739463601532,229.88069402394635,130.16328207471264
Confocal (HCR),82.717277486911,237.60984908769632,129.8551238298429
Confocal (HCR),85.37200342465754,307.2845358103239,210.79420646461185
Confocal (HCR),75.34782608695652,228.94584949999998,129.4583235869565
Confocal (HCR),80.40522875816994,232.12039597058822,128.2923767254902
Confocal (HCR),76.78787878787878,223.05221887878784,137.56627034848484
Confocal (HCR),81.51298701298701,228.67291303084414,127.48828778409091
Confocal (HCR),85.80185317177477,293.4106340051675,207.18302717890234
Confocal (HCR),79.34782608695652,304.3917599347826,208.20724876086956
Confocal (HCR),87.21125822299942,308.61030084927967,200.63836959551168
Confocal (HCR),81.33333333333333,232.4398855833333,127.89555841666665
Confocal (HCR),82.975,297.62960435,214.46289696249997
Confocal (HCR),86.55614266842801,303.023920423712,204.9037810019815
Confocal (HCR),90.89099205678554,306.4669208549518,204.4418471599628
Confocal (HCR),80.12820512820512,225.91218526923078,141.39536424358974
Confocal (HCR),90.71391076115485,295.0540037216798,204.1587483845669
Confocal (HCR),83.06666666666666,296.44115308205124,202.12399992564102
Confocal (HCR),86.82334207568378,294.3719923947171,199.8959495961034
Confocal (HCR),85.19354838709677,223.64190368202765,141.48383078801842
Confocal (HCR),86.2663043478261,226.1978495326087,141.5496362513587
Confocal (HCR),89.5391304347826,293.6181561217391,206.70555025652172
Confocal (HCR),84.08222811671088,296.183631143236,205.47596949469494
Confocal (HCR),82.05128205128206,222.7294989358974,139.15204937820513
Confocal (HCR),81.98170731707317,223.8756580426829,141.7565286554878
Confocal (HCR),82.80327868852459,222.61677261475407,139.24309420491804
Confocal (HCR),90.34077478660538,235.11430883896915,136.03483191694025
Confocal (HCR),89.44420468557337,320.46322463871763,181.97023614041305
Confocal (HCR),82.25925925925925,223.80281288888887,138.2085384074074
Confocal (HCR),92.78778135048232,230.0137157379421,126.89721472025722
Confocal (HCR),88.46315789473684,236.90766345789473,134.8220889368421
Confocal (HCR),86.86363636363636,225.3247575590909,139.96775185454547
Confocal (HCR),85.47058823529412,295.68051421568623,206.10132470588235
Confocal (HCR),96.68061366806137,233.68890324616459,135.7400957022315
Confocal (HCR),91.01579492490937,236.37374193034694,137.75380267309683
Confocal (HCR),84.17647058823529,290.6541489705882,204.83150611764705
Confocal (HCR),90.60443037974683,303.48652667246836,204.53313893354428
Confocal (HCR),85.52777777777777,292.1210200694444,202.41193191666665
Confocal (HCR),91.31754161331627,307.4814652272727,187.5542722362356
Confocal (HCR),98.09828674481516,303.46765079846705,186.66273794499548
Confocal (HCR),96.37492317148126,304.36495228948985,186.92728390488628
Confocal (HCR),91.94366197183099,302.7927479507042,201.8774238169014
Confocal (HCR),92.3,230.45416606666666,135.11541317500001
Confocal (HCR),90.73913043478261,303.6382032934782,200.36935722826087
Confocal (HCR),93.18518518518519,231.5980881111111,128.58744675
Confocal (HCR),94.31645569620254,232.8764758797468,128.10268701265824
Confocal (HCR),93.93175853018373,239.3121890328084,135.43360008923884
