fish_id,plane_idx,plane,method,selected,status,best_z,scale,bestz_max_score,bestz_second_best,bestz_peak_delta,bestz_peak_zscore,bestz_z_count,post_ncc,valid_fraction,ncc_xy_score,ncc_xy_x0,ncc_xy_y0,ref_shape,ref_scaled_shape,transformlist,error
L395_f11,0,L395_f11_plane0_mcorrected_flipX,ncc_xy,True,ok,124,1.0365000000000002,0.8539106845855713,0.8366016149520874,0.0173090696334838,4.803831906153091,216,0.7685716152191162,0.501264,0.8539106845855713,123.0,130.0,"(512, 512)","(531, 531)",,
L395_f11,0,L395_f11_plane0_mcorrected_flipX,ants_rigid_affine,False,ok,124,1.0365000000000002,0.8539106845855713,0.8366016149520874,0.0173090696334838,4.803831906153091,216,0.8682432770729065,0.5034186666666667,,,,"(512, 512)","(531, 531)",/Users/ddharmap/dataProcessing/2p_HCR/analysis/midThesis/L395_f11/03_analysis/functional/ncc/inplane_registration_comparison/transforms/L395_f11_plane0_mcorrected_flipX_ants_rigid_affine_0.mat,
L395_f11,1,L395_f11_plane1_mcorrected_flipX,ncc_xy,True,ok,122,1.0365000000000002,0.8517797589302063,0.8308824896812439,0.0208972692489624,5.030509531574194,216,0.7768489718437195,0.501264,0.8517797589302063,119.0,123.0,"(512, 512)","(531, 531)",,
L395_f11,1,L395_f11_plane1_mcorrected_flipX,ants_rigid_affine,False,ok,122,1.0365000000000002,0.8517797589302063,0.8308824896812439,0.0208972692489624,5.030509531574194,216,0.8753373622894287,0.5015128888888889,,,,"(512, 512)","(531, 531)",/Users/ddharmap/dataProcessing/2p_HCR/analysis/midThesis/L395_f11/03_analysis/functional/ncc/inplane_registration_comparison/transforms/L395_f11_plane1_mcorrected_flipX_ants_rigid_affine_0.mat,
L395_f11,2,L395_f11_plane2_mcorrected_flipX,ncc_xy,True,ok,118,1.0385,0.8665862679481506,0.8517213463783264,0.0148649215698242,4.991994642164644,216,0.7990574836730957,0.5031537777777778,0.8665862679481506,112.0,110.0,"(512, 512)","(532, 532)",,
L395_f11,2,L395_f11_plane2_mcorrected_flipX,ants_rigid_affine,False,ok,118,1.0385,0.8665862679481506,0.8517213463783264,0.0148649215698242,4.991994642164644,216,0.8723822832107544,0.5039128888888889,,,,"(512, 512)","(532, 532)",/Users/ddharmap/dataProcessing/2p_HCR/analysis/midThesis/L395_f11/03_analysis/functional/ncc/inplane_registration_comparison/transforms/L395_f11_plane2_mcorrected_flipX_ants_rigid_affine_0.mat,
L395_f11,3,L395_f11_plane3_mcorrected_flipX,ncc_xy,True,ok,113,1.0459000000000005,0.8798812627792358,0.8669725656509399,0.0129086971282958,4.654832039981834,216,0.8049737215042114,0.5107484444444444,0.8798812627792358,100.0,94.0,"(512, 512)","(536, 536)",,
L395_f11,3,L395_f11_plane3_mcorrected_flipX,ants_rigid_affine,False,ok,113,1.0459000000000005,0.8798812627792358,0.8669725656509399,0.0129086971282958,4.654832039981834,216,0.8797837495803833,0.5088231111111111,,,,"(512, 512)","(536, 536)",/Users/ddharmap/dataProcessing/2p_HCR/analysis/midThesis/L395_f11/03_analysis/functional/ncc/inplane_registration_comparison/transforms/L395_f11_plane3_mcorrected_flipX_ants_rigid_affine_0.mat,
L395_f11,4,L395_f11_plane4_mcorrected_flipX,ncc_xy,True,ok,107,1.0459000000000005,0.8469234108924866,0.8436210751533508,0.0033023357391357,3.715648130139978,216,0.7439488768577576,0.5107484444444444,0.8469234108924866,91.0,79.0,"(512, 512)","(536, 536)",,
L395_f11,4,L395_f11_plane4_mcorrected_flipX,ants_rigid_affine,False,ok,107,1.0459000000000005,0.8469234108924866,0.8436210751533508,0.0033023357391357,3.715648130139978,216,0.8497450947761536,0.5140693333333334,,,,"(512, 512)","(536, 536)",/Users/ddharmap/dataProcessing/2p_HCR/analysis/midThesis/L395_f11/03_analysis/functional/ncc/inplane_registration_comparison/transforms/L395_f11_plane4_mcorrected_flipX_ants_rigid_affine_0.mat,
L396_f01,0,L396_f01_plane0_mcorrected_flipX,ncc_xy,True,ok,124,0.8685000000000002,0.8606398105621338,0.8570401668548584,0.0035996437072753,4.188347087722569,223,0.7734209895133972,0.3520444444444444,0.8606398105621338,230.0,137.0,"(512, 512)","(445, 445)",,
L396_f01,0,L396_f01_plane0_mcorrected_flipX,ants_rigid_affine,False,ok,124,0.8685000000000002,0.8606398105621338,0.8570401668548584,0.0035996437072753,4.188347087722569,223,0.2113190591335296,0.34136,,,,"(512, 512)","(445, 445)",/Users/ddharmap/dataProcessing/2p_HCR/analysis/midThesis/L396_f01/03_analysis/functional/ncc/inplane_registration_comparison/transforms/L396_f01_plane0_mcorrected_flipX_ants_rigid_affine_0.mat,
L396_f01,1,L396_f01_plane1_mcorrected_flipX,ncc_xy,True,ok,122,0.8645000000000002,0.8695045709609985,0.8584483861923218,0.0110561847686767,4.26237400575391,223,0.7800347208976746,0.3488871111111111,0.8695045709609985,227.0,132.0,"(512, 512)","(443, 443)",,
L396_f01,1,L396_f01_plane1_mcorrected_flipX,ants_rigid_affine,False,ok,122,0.8645000000000002,0.8695045709609985,0.8584483861923218,0.0110561847686767,4.26237400575391,223,0.8515598177909851,0.3484871111111111,,,,"(512, 512)","(443, 443)",/Users/ddharmap/dataProcessing/2p_HCR/analysis/midThesis/L396_f01/03_analysis/functional/ncc/inplane_registration_comparison/transforms/L396_f01_plane1_mcorrected_flipX_ants_rigid_affine_0.mat,
