fish_id,plane_idx,plane,method,n_rois,n_unique_anat_match,unique_match_frac,unmatched_frac,median_selected_dist_um,median_selected_overlap_px,n_overlap_candidates_any,n_overlap_candidates_valid,n_identity_assigned
L395_f11,0,L395_f11_plane0_mcorrected_flipX,current_active_backend,924,642,0.6948051948051948,0.3051948051948052,2.4196819522814232,29.0,1964,1964,1
L395_f11,1,L395_f11_plane1_mcorrected_flipX,current_active_backend,958,632,0.6597077244258872,0.34029227557411273,2.492269165106883,25.0,1924,1924,3
L395_f11,2,L395_f11_plane2_mcorrected_flipX,current_active_backend,956,606,0.6338912133891214,0.36610878661087864,2.514124758795802,29.0,1836,1836,5
L395_f11,3,L395_f11_plane3_mcorrected_flipX,current_active_backend,897,537,0.5986622073578596,0.4013377926421405,2.5325238972239736,26.0,1581,1581,12
L395_f11,4,L395_f11_plane4_mcorrected_flipX,current_active_backend,795,447,0.5622641509433962,0.4377358490566038,2.649427725861659,28.0,1307,1307,15
L396_f01,0,L396_f01_plane0_mcorrected_flipX,current_active_backend,843,445,0.527876631079478,0.4721233689205219,3.034640035162901,26.0,1348,1348,4
L396_f01,1,L396_f01_plane1_mcorrected_flipX,current_active_backend,1019,497,0.48773307163886165,0.5122669283611384,2.8356287961260476,24.0,1395,1395,5
L396_f01,2,L396_f01_plane2_mcorrected_flipX,current_active_backend,982,510,0.5193482688391039,0.48065173116089616,2.976311375098072,26.0,1528,1528,4
L396_f01,3,L396_f01_plane3_mcorrected_flipX,current_active_backend,996,490,0.4919678714859438,0.5080321285140562,2.9495179112488836,27.0,1459,1459,1
L396_f01,4,L396_f01_plane4_mcorrected_flipX,current_active_backend,696,315,0.4525862068965517,0.5474137931034483,3.2340346631040338,27.0,877,877,0
L396_f03,0,L396_f03_plane0_mcorrected_flipX,current_active_backend,726,354,0.48760330578512395,0.512396694214876,2.788305678489551,24.0,925,925,5
L396_f03,1,L396_f03_plane1_mcorrected_flipX,current_active_backend,843,367,0.43534994068801897,0.564650059311981,2.906927985103123,21.0,993,993,11
L396_f03,2,L396_f03_plane2_mcorrected_flipX,current_active_backend,822,440,0.5352798053527981,0.46472019464720193,2.828929269078467,27.5,1348,1348,14
L396_f03,3,L396_f03_plane3_mcorrected_flipX,current_active_backend,712,313,0.4396067415730337,0.5603932584269663,3.1027952944715755,22.0,849,849,6
L396_f03,4,L396_f03_plane4_mcorrected_flipX,current_active_backend,508,221,0.43503937007874016,0.5649606299212598,3.162557180951429,22.0,561,561,8
L396_f04,0,L396_f04_plane0_mcorrected_flipX,current_active_backend,716,419,0.585195530726257,0.41480446927374304,2.801340317304054,26.0,1288,1288,4
L396_f04,1,L396_f04_plane1_mcorrected_flipX,current_active_backend,788,389,0.4936548223350254,0.5063451776649747,2.8232037611964502,26.0,1148,1148,2
L396_f04,2,L396_f04_plane2_mcorrected_flipX,current_active_backend,838,342,0.4081145584725537,0.5918854415274463,2.8657189622493604,23.5,1008,1008,6
L396_f04,3,L396_f04_plane3_mcorrected_flipX,current_active_backend,724,281,0.38812154696132595,0.611878453038674,2.8914902029134573,23.0,758,758,8
L396_f04,4,L396_f04_plane4_mcorrected_flipX,current_active_backend,567,200,0.3527336860670194,0.6472663139329806,3.355250531481989,24.0,499,499,4
