fish_id,fish_dir,status,notes,anat_source_path,anat_labels_path,n_anatomy_labels
L758_f02,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f02,cached,[ANAT CP] Reusing existing anatomy masks: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f02\03_analysis\structural\cp_masks\L758_f02_anatomy_00001_uint8_8bit_cp_masks.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f02\02_reg\00_preprocessing\2p_anatomy\L758_f02_anatomy_00001_uint8.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f02\03_analysis\structural\cp_masks\L758_f02_anatomy_00001_uint8_8bit_cp_masks.tif,10385
L758_f03,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f03,cached,[ANAT CP] Reusing existing anatomy masks: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f03\03_analysis\structural\cp_masks\L758_f03_anatomy_00001_uint8_8bit_cp_masks.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f03\02_reg\00_preprocessing\2p_anatomy\L758_f03_anatomy_00001_uint8.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f03\03_analysis\structural\cp_masks\L758_f03_anatomy_00001_uint8_8bit_cp_masks.tif,24136
L758_f04,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f04,cached,[ANAT CP] Reusing existing anatomy masks: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f04\03_analysis\structural\cp_masks\L758_f04_anatomy_00001_uint8_8bit_cp_masks.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f04\02_reg\00_preprocessing\2p_anatomy\L758_f04_anatomy_00001_uint8.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f04\03_analysis\structural\cp_masks\L758_f04_anatomy_00001_uint8_8bit_cp_masks.tif,11315
L758_f06,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f06,cached,[ANAT CP] Reusing existing anatomy masks: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f06\03_analysis\structural\cp_masks\L758_f06_anatomy_00001_uint8_8bit_cp_masks.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f06\02_reg\00_preprocessing\2p_anatomy\L758_f06_anatomy_00001_uint8.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f06\03_analysis\structural\cp_masks\L758_f06_anatomy_00001_uint8_8bit_cp_masks.tif,40113
L758_f07,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f07,cached,[ANAT CP] Reusing existing anatomy masks: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f07\03_analysis\structural\cp_masks\L758_f07_anatomy_00001_uint8_8bit_cp_masks.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f07\02_reg\00_preprocessing\2p_anatomy\L758_f07_anatomy_00001_uint8.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L758_f07\03_analysis\structural\cp_masks\L758_f07_anatomy_00001_uint8_8bit_cp_masks.tif,22333
L765_f01,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f01,cached,[ANAT CP] Reusing existing anatomy masks: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f01\03_analysis\structural\cp_masks\L765_f01_anatomy_00001_uint8_8bit_cp_masks.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f01\02_reg\00_preprocessing\2p_anatomy\L765_f01_anatomy_00001_uint8.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f01\03_analysis\structural\cp_masks\L765_f01_anatomy_00001_uint8_8bit_cp_masks.tif,18719
L765_f02,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f02,cached,[ANAT CP] Reusing existing anatomy masks: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f02\03_analysis\structural\cp_masks\L765_f02_anatomy_00001_uint8_8bit_cp_masks.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f02\02_reg\00_preprocessing\2p_anatomy\L765_f02_anatomy_00001_uint8.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f02\03_analysis\structural\cp_masks\L765_f02_anatomy_00001_uint8_8bit_cp_masks.tif,21460
L765_f03,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f03,cached,[ANAT CP] Reusing existing anatomy masks: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f03\03_analysis\structural\cp_masks\L765_f03_anatomy_00001_uint8_8bit_cp_masks.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f03\02_reg\00_preprocessing\2p_anatomy\L765_f03_anatomy_00001_uint8.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f03\03_analysis\structural\cp_masks\L765_f03_anatomy_00001_uint8_8bit_cp_masks.tif,15303
L765_f04,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f04,segmented,"[ANAT CP] Saved 8-bit anatomy TIFF: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f04\03_analysis\structural\raw\converted_nrrd_to_tif\L765_f04_anatomy_00001_uint8_8bit.tif; [ANAT CP] device=auto gpu=True; [ANAT CP] Saved anatomy masks: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f04\03_analysis\structural\cp_masks\L765_f04_anatomy_00001_uint8_8bit_cp_masks.tif (max_label=15761, dtype=<class 'numpy.uint16'>)",\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f04\02_reg\00_preprocessing\2p_anatomy\L765_f04_anatomy_00001_uint8.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f04\03_analysis\structural\cp_masks\L765_f04_anatomy_00001_uint8_8bit_cp_masks.tif,15761
L765_f05,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f05,segmented,"[ANAT CP] device=auto gpu=True; [ANAT CP] Saved anatomy masks: \\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f05\03_analysis\structural\cp_masks\L765_f05_anatomy_00001_uint8_8bit_cp_masks.tif (max_label=19062, dtype=<class 'numpy.uint16'>)",\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f05\02_reg\00_preprocessing\2p_anatomy\L765_f05_anatomy_00001_uint8.tif,\\nasdcsr.unil.ch\RECHERCHE\FAC\FBM\CIG\jlarsch\default\D2c\07_Data\Danin\Microscopy\L765_f05\03_analysis\structural\cp_masks\L765_f05_anatomy_00001_uint8_8bit_cp_masks.tif,19062
