owner,fish_id,master_csv,ring,plot_order,response_summary_class,bpi_category,plot_category,count,n_total
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,inner,0,Responsive neurons,,Responsive neurons,1045,4530
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,inner,1,Low activity,,Low activity,2087,4530
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,inner,2,Response unavailable,,Response unavailable,1398,4530
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,outer,0,Responsive neurons,bout-responsive,bout-responsive,284,4530
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,outer,1,Responsive neurons,continuous-responsive,continuous-responsive,3,4530
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,outer,2,Responsive neurons,both-responsive,both-responsive,251,4530
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,outer,3,Responsive neurons,weak-response,weak-response,507,4530
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,outer,4,Low activity,low activity,low activity,2087,4530
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,outer,5,Response unavailable,response unavailable,response unavailable,1398,4530
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,inner,0,Responsive neurons,,Responsive neurons,881,4536
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,inner,1,Low activity,,Low activity,1453,4536
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,inner,2,Response unavailable,,Response unavailable,2202,4536
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,outer,0,Responsive neurons,bout-responsive,bout-responsive,275,4536
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,outer,1,Responsive neurons,continuous-responsive,continuous-responsive,7,4536
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,outer,2,Responsive neurons,both-responsive,both-responsive,82,4536
Matilde,L396_f01,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f01/03_analysis/functional/registration/functional_roi_activity_identity.csv,outer,3,Responsive neurons,weak-response,weak-response,517,4536
