owner,fish_id,master_csv,conf_func_csv,ring,plot_order,bpi_category,identity_bucket,count,n_total_responsive
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,0,bout-responsive,,284,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,1,continuous-responsive,,3,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,2,both-responsive,,251,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,inner,3,weak-response,,507,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,0,bout-responsive,sst1.1,2,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,1,bout-responsive,sst1.2,1,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,2,bout-responsive,tac3b,1,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,3,bout-responsive,pth2,10,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,4,bout-responsive,sst1.1/tac3b,1,1045
Matilde,L395_f11,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L395_f11/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,5,bout-responsive,sst1.1/pth2,1,1045
