fish_id,dataset,xy_q05_um,xy_q95_um,n_input,n_kept,n_drop_q05,n_low_conf_q95
L395_f11,Anatomy,3.578414916992187,9.840641021728514,42038,40124,1914,1964
L395_f11,Functional,4.473018646240234,7.455031077067057,3132,3008,124,107
L395_f11,HCR,1.3118545245651663,12.46261798336908,742,723,19,37
L396_f01,Anatomy,3.936249415079753,11.450907389322918,46332,44612,1720,2141
L396_f01,Functional,4.6519311269124355,7.872498830159506,2334,2279,55,70
L396_f01,HCR,1.2453987361496925,8.41681979181167,139,133,6,7
L396_f03,Anatomy,3.936249415079753,11.093066533406578,45447,43903,1544,2201
L396_f03,Functional,4.6519311269124355,7.514657974243165,1731,1670,61,62
L396_f03,HCR,1.2453987361496925,8.30265824099795,1214,1169,45,60
L396_f04,Anatomy,3.936249415079753,11.093066533406578,52642,50591,2051,2555
L396_f04,Functional,4.6519311269124355,7.872498830159506,1973,1906,67,60
L396_f04,HCR,1.2453987361496925,7.887525328948053,947,905,42,46
