panel,panel_title,gene,n_fish,fish_ids,n_cells_total,n_segments_total
contra_LB,Contra × bout-like,sst1.1,4,"L395_f11,L396_f01,L396_f03,L396_f04",51,204
contra_LB,Contra × bout-like,sst1.2,3,"L395_f11,L396_f03,L396_f04",34,136
contra_LB,Contra × bout-like,pth2,4,"L395_f11,L396_f01,L396_f03,L396_f04",65,260
contra_LB,Contra × bout-like,tac3b,3,"L395_f11,L396_f03,L396_f04",19,76
contra_LB,Contra × bout-like,npy,1,L396_f04,10,40
contra_LB,Contra × bout-like,cfos,1,L396_f04,1,4
ipsi_LB,Ipsi × bout-like,sst1.1,4,"L395_f11,L396_f01,L396_f03,L396_f04",51,204
ipsi_LB,Ipsi × bout-like,sst1.2,3,"L395_f11,L396_f03,L396_f04",34,136
ipsi_LB,Ipsi × bout-like,pth2,4,"L395_f11,L396_f01,L396_f03,L396_f04",65,260
ipsi_LB,Ipsi × bout-like,tac3b,3,"L395_f11,L396_f03,L396_f04",19,76
ipsi_LB,Ipsi × bout-like,npy,1,L396_f04,10,40
ipsi_LB,Ipsi × bout-like,cfos,1,L396_f04,1,4
contra_LC,Contra × continuous,sst1.1,4,"L395_f11,L396_f01,L396_f03,L396_f04",51,204
contra_LC,Contra × continuous,sst1.2,3,"L395_f11,L396_f03,L396_f04",34,136
contra_LC,Contra × continuous,pth2,4,"L395_f11,L396_f01,L396_f03,L396_f04",65,260
contra_LC,Contra × continuous,tac3b,3,"L395_f11,L396_f03,L396_f04",19,76
contra_LC,Contra × continuous,npy,1,L396_f04,10,40
contra_LC,Contra × continuous,cfos,1,L396_f04,1,4
ipsi_LC,Ipsi × continuous,sst1.1,4,"L395_f11,L396_f01,L396_f03,L396_f04",51,204
ipsi_LC,Ipsi × continuous,sst1.2,3,"L395_f11,L396_f03,L396_f04",34,136
ipsi_LC,Ipsi × continuous,pth2,4,"L395_f11,L396_f01,L396_f03,L396_f04",65,260
ipsi_LC,Ipsi × continuous,tac3b,3,"L395_f11,L396_f03,L396_f04",19,76
ipsi_LC,Ipsi × continuous,npy,1,L396_f04,10,40
ipsi_LC,Ipsi × continuous,cfos,1,L396_f04,1,4
