owner,fish_id,gene,anat_label,plane,func_label,cell_key,stim_type,stim_class,block,stim_idx,response_mean_dff,response_mean_zdff,n_valid_points,n_total_points,fps
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,RLC,continuous,B1,1,0.0032613417133688927,-0.6079612374305725,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLC,continuous,B1,2,0.032045744359493256,2.505673885345459,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,RLB,bout,B1,3,0.020496711134910583,1.2564043998718262,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLB,bout,B1,4,0.07820054143667221,7.498279571533203,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLB+RLB,bout,B1,6,0.08302148431539536,8.019765853881836,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLC+RLC,continuous,B1,7,0.006638152524828911,-0.24268843233585358,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,RLC,continuous,B1,9,0.0016903311479836702,-0.7778988480567932,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLB,bout,B1,10,0.0639491006731987,5.956689357757568,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLB+RLB,bout,B1,11,0.07747436314821243,7.419728755950928,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,RLB,bout,B1,12,0.016926562413573265,0.8702181577682495,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLC,continuous,B1,13,0.0033406708389520645,-0.5993800759315491,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLC+RLC,continuous,B1,14,0.0028644888661801815,-0.6508890986442566,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLC+RLC,continuous,B2,16,0.0021815223153680563,-0.724766194820404,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLB,bout,B2,17,0.06581512093544006,6.158537864685059,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,RLC,continuous,B2,20,0.0033135171979665756,-0.602317214012146,57,57,2.0
Matilde,L395_f11,pth2,13033,4,365,L395_f11|pth2|13033,LLC,continuous,B2,21,0.0027334089390933514,-0.6650680899620056,57,57,2.0
