owner,fish_id,gene,responsive,low,unavailable,no_func,out_of_plane,n_labels,unmatched,n_total_hq_masks
Matilde,L395_f11,sst1.1,11,6,1,4,51,73,80,153
Matilde,L395_f11,pth2,16,1,0,1,0,18,2,20
Matilde,L395_f11,sst1.2,4,1,1,0,3,9,4,13
Matilde,L395_f11,tac3b,7,8,1,3,43,62,15,77
Matilde,L395_f11,npy,0,0,0,0,0,0,0,0
Matilde,L395_f11,cfos,0,0,0,0,0,0,0,0
Matilde,L396_f01,sst1.1,7,0,1,1,2,11,17,28
Matilde,L396_f01,pth2,16,0,1,0,4,21,20,41
Matilde,L396_f01,sst1.2,0,0,0,0,0,0,0,0
Matilde,L396_f01,tac3b,0,0,0,0,0,0,0,0
Matilde,L396_f01,npy,0,0,0,0,0,0,0,0
Matilde,L396_f01,cfos,0,0,0,0,0,0,0,0
Matilde,L396_f03,sst1.1,10,4,2,3,28,47,175,222
Matilde,L396_f03,pth2,25,1,0,0,1,27,52,79
Matilde,L396_f03,sst1.2,21,5,11,6,15,58,185,243
Matilde,L396_f03,tac3b,2,0,0,2,1,5,10,15
Matilde,L396_f03,npy,0,0,0,0,0,0,0,0
Matilde,L396_f03,cfos,0,0,0,0,0,0,0,0
Matilde,L396_f04,sst1.1,11,11,4,0,37,63,126,189
Matilde,L396_f04,pth2,7,0,2,1,8,18,28,46
Matilde,L396_f04,sst1.2,4,2,4,2,7,19,49,68
Matilde,L396_f04,tac3b,1,1,0,0,0,2,0,2
Matilde,L396_f04,npy,10,1,1,4,17,33,99,132
Matilde,L396_f04,cfos,0,1,0,0,0,1,13,14
