group,laterality,stim_mode,n_responsive_used,n_low_used,n_other,n_total,frac_responsive_used,frac_low_used,frac_other,fish_id
All neurons,contra,bout,707,1305,2518,4530,0.1560706401766004,0.2880794701986754,0.555849889624724,L395_f11
sst1.1,contra,bout,11,6,5,22,0.5,0.2727272727272727,0.2272727272727272,L395_f11
sst1.2,contra,bout,4,1,1,6,0.6666666666666666,0.1666666666666666,0.1666666666666666,L395_f11
tac3b,contra,bout,7,8,4,19,0.3684210526315789,0.4210526315789473,0.2105263157894736,L395_f11
pth2,contra,bout,16,1,1,18,0.8888888888888888,0.0555555555555555,0.0555555555555555,L395_f11
All neurons,contra,continuous,707,1305,2518,4530,0.1560706401766004,0.2880794701986754,0.555849889624724,L395_f11
sst1.1,contra,continuous,11,6,5,22,0.5,0.2727272727272727,0.2272727272727272,L395_f11
sst1.2,contra,continuous,4,1,1,6,0.6666666666666666,0.1666666666666666,0.1666666666666666,L395_f11
tac3b,contra,continuous,7,8,4,19,0.3684210526315789,0.4210526315789473,0.2105263157894736,L395_f11
pth2,contra,continuous,16,1,1,18,0.8888888888888888,0.0555555555555555,0.0555555555555555,L395_f11
All neurons,ipsi,bout,707,1305,2518,4530,0.1560706401766004,0.2880794701986754,0.555849889624724,L395_f11
sst1.1,ipsi,bout,11,6,5,22,0.5,0.2727272727272727,0.2272727272727272,L395_f11
sst1.2,ipsi,bout,4,1,1,6,0.6666666666666666,0.1666666666666666,0.1666666666666666,L395_f11
tac3b,ipsi,bout,7,8,4,19,0.3684210526315789,0.4210526315789473,0.2105263157894736,L395_f11
pth2,ipsi,bout,16,1,1,18,0.8888888888888888,0.0555555555555555,0.0555555555555555,L395_f11
All neurons,ipsi,continuous,707,1305,2518,4530,0.1560706401766004,0.2880794701986754,0.555849889624724,L395_f11
sst1.1,ipsi,continuous,11,6,5,22,0.5,0.2727272727272727,0.2272727272727272,L395_f11
sst1.2,ipsi,continuous,4,1,1,6,0.6666666666666666,0.1666666666666666,0.1666666666666666,L395_f11
tac3b,ipsi,continuous,7,8,4,19,0.3684210526315789,0.4210526315789473,0.2105263157894736,L395_f11
pth2,ipsi,continuous,16,1,1,18,0.8888888888888888,0.0555555555555555,0.0555555555555555,L395_f11
All neurons,contra,bout,794,1029,2713,4536,0.1750440917107583,0.2268518518518518,0.5981040564373897,L396_f01
sst1.1,contra,bout,7,0,2,9,0.7777777777777778,0.0,0.2222222222222222,L396_f01
pth2,contra,bout,16,0,1,17,0.9411764705882352,0.0,0.0588235294117647,L396_f01
All neurons,contra,continuous,794,1029,2713,4536,0.1750440917107583,0.2268518518518518,0.5981040564373897,L396_f01
sst1.1,contra,continuous,7,0,2,9,0.7777777777777778,0.0,0.2222222222222222,L396_f01
pth2,contra,continuous,16,0,1,17,0.9411764705882352,0.0,0.0588235294117647,L396_f01
All neurons,ipsi,bout,794,1029,2713,4536,0.1750440917107583,0.2268518518518518,0.5981040564373897,L396_f01
