group,population,group_type,plane_idx,func_label,laterality,stim_mode,auc_dff,n_trials,response_class,response_is_active,bpi_category,point_label_id,fish_id
All neurons,all_neurons,all,0,368,contra,bout,0.24693653,4.0,both-responsive,True,both-responsive,roi:p0:f368,L395_f11
All neurons,all_neurons,all,0,425,contra,bout,0.4234905,4.0,both-responsive,True,both-responsive,roi:p0:f425,L395_f11
All neurons,all_neurons,all,0,473,contra,bout,0.25962555,4.0,both-responsive,True,both-responsive,roi:p0:f473,L395_f11
All neurons,all_neurons,all,0,486,contra,bout,0.45220125,4.0,both-responsive,True,both-responsive,roi:p0:f486,L395_f11
All neurons,all_neurons,all,0,489,contra,bout,0.51996815,4.0,both-responsive,True,bout-responsive,roi:p0:f489,L395_f11
All neurons,all_neurons,all,0,495,contra,bout,0.25818855,4.0,both-responsive,True,both-responsive,roi:p0:f495,L395_f11
All neurons,all_neurons,all,0,496,contra,bout,0.15829447,4.0,both-responsive,True,both-responsive,roi:p0:f496,L395_f11
All neurons,all_neurons,all,0,519,contra,bout,0.3220563,4.0,both-responsive,True,both-responsive,roi:p0:f519,L395_f11
All neurons,all_neurons,all,0,523,contra,bout,0.7041701,4.0,both-responsive,True,both-responsive,roi:p0:f523,L395_f11
All neurons,all_neurons,all,0,524,contra,bout,0.43407336,4.0,both-responsive,True,both-responsive,roi:p0:f524,L395_f11
All neurons,all_neurons,all,0,534,contra,bout,0.2954846,4.0,both-responsive,True,both-responsive,roi:p0:f534,L395_f11
All neurons,all_neurons,all,0,542,contra,bout,0.4596822,4.0,both-responsive,True,both-responsive,roi:p0:f542,L395_f11
All neurons,all_neurons,all,0,665,contra,bout,0.3263234,4.0,both-responsive,True,both-responsive,roi:p0:f665,L395_f11
All neurons,all_neurons,all,0,704,contra,bout,0.10331956,4.0,both-responsive,True,both-responsive,roi:p0:f704,L395_f11
All neurons,all_neurons,all,0,710,contra,bout,0.12379196,4.0,both-responsive,True,both-responsive,roi:p0:f710,L395_f11
All neurons,all_neurons,all,0,743,contra,bout,0.12905538,4.0,both-responsive,True,both-responsive,roi:p0:f743,L395_f11
All neurons,all_neurons,all,0,744,contra,bout,0.12956865,4.0,both-responsive,True,both-responsive,roi:p0:f744,L395_f11
All neurons,all_neurons,all,0,790,contra,bout,0.11243632,4.0,both-responsive,True,both-responsive,roi:p0:f790,L395_f11
All neurons,all_neurons,all,0,805,contra,bout,0.3322707,4.0,both-responsive,True,both-responsive,roi:p0:f805,L395_f11
All neurons,all_neurons,all,0,817,contra,bout,0.16827908,4.0,both-responsive,True,both-responsive,roi:p0:f817,L395_f11
All neurons,all_neurons,all,0,819,contra,bout,0.14892615,4.0,both-responsive,True,both-responsive,roi:p0:f819,L395_f11
All neurons,all_neurons,all,0,842,contra,bout,0.101849906,4.0,both-responsive,True,both-responsive,roi:p0:f842,L395_f11
All neurons,all_neurons,all,0,849,contra,bout,0.28732088,4.0,both-responsive,True,both-responsive,roi:p0:f849,L395_f11
All neurons,all_neurons,all,0,856,contra,bout,0.16551311,4.0,both-responsive,True,both-responsive,roi:p0:f856,L395_f11
All neurons,all_neurons,all,0,863,contra,bout,0.09580584,4.0,both-responsive,True,both-responsive,roi:p0:f863,L395_f11
All neurons,all_neurons,all,0,886,contra,bout,0.22489329,4.0,both-responsive,True,both-responsive,roi:p0:f886,L395_f11
All neurons,all_neurons,all,0,889,contra,bout,0.56610864,4.0,both-responsive,True,both-responsive,roi:p0:f889,L395_f11
All neurons,all_neurons,all,1,202,contra,bout,0.30091864,4.0,both-responsive,True,both-responsive,roi:p1:f202,L395_f11
All neurons,all_neurons,all,1,397,contra,bout,0.8171623,4.0,both-responsive,True,both-responsive,roi:p1:f397,L395_f11
All neurons,all_neurons,all,1,399,contra,bout,0.39409286,4.0,both-responsive,True,both-responsive,roi:p1:f399,L395_f11
All neurons,all_neurons,all,1,485,contra,bout,0.20361117,4.0,both-responsive,True,both-responsive,roi:p1:f485,L395_f11
All neurons,all_neurons,all,1,759,contra,bout,0.15744784,4.0,both-responsive,True,both-responsive,roi:p1:f759,L395_f11
All neurons,all_neurons,all,1,791,contra,bout,0.5950338,4.0,both-responsive,True,both-responsive,roi:p1:f791,L395_f11
All neurons,all_neurons,all,1,821,contra,bout,0.18988678,4.0,both-responsive,True,both-responsive,roi:p1:f821,L395_f11
All neurons,all_neurons,all,1,836,contra,bout,0.10111081,4.0,both-responsive,True,both-responsive,roi:p1:f836,L395_f11
All neurons,all_neurons,all,1,839,contra,bout,0.1409243,4.0,both-responsive,True,both-responsive,roi:p1:f839,L395_f11
All neurons,all_neurons,all,2,342,contra,bout,0.18444176,4.0,both-responsive,True,both-responsive,roi:p2:f342,L395_f11
All neurons,all_neurons,all,2,416,contra,bout,0.12825498,4.0,both-responsive,True,both-responsive,roi:p2:f416,L395_f11
