dataset,z,y,x,value
AFTER,0,302,266,0
AFTER,0,403,621,0
AFTER,1,106,156,0
AFTER,1,292,367,0
AFTER,2,160,557,0
AFTER,2,522,469,0
AFTER,2,720,710,0
AFTER,3,223,447,0
AFTER,3,663,665,0
AFTER,3,665,454,0
AFTER,3,669,178,0
AFTER,3,715,94,0
AFTER,4,55,400,0
AFTER,4,56,715,0
AFTER,4,59,685,0
AFTER,4,97,508,0
AFTER,4,155,131,0
AFTER,4,324,592,0
AFTER,4,511,481,0
AFTER,4,600,76,0
AFTER,4,600,591,0
AFTER,4,681,568,0
AFTER,5,8,271,0
AFTER,5,143,154,0
AFTER,5,301,115,0
AFTER,5,445,47,0
AFTER,5,453,101,0
AFTER,5,640,261,0
AFTER,6,130,19,0
AFTER,6,215,704,0
AFTER,6,378,55,0
AFTER,6,482,100,0
AFTER,6,504,507,0
AFTER,6,623,209,0
AFTER,7,183,45,0
AFTER,7,241,508,0
AFTER,7,415,430,0
AFTER,7,570,77,0
AFTER,8,204,262,0
AFTER,8,454,624,0
AFTER,9,10,60,0
AFTER,9,90,268,0
AFTER,9,306,212,0
AFTER,9,524,77,0
AFTER,10,43,72,0
AFTER,10,96,35,0
AFTER,10,166,21,0
AFTER,10,169,662,0
AFTER,10,457,94,0
AFTER,10,713,111,0
AFTER,11,338,53,0
AFTER,12,57,139,0
AFTER,12,91,344,0
AFTER,12,116,726,0
AFTER,12,165,233,0
AFTER,12,219,348,0
AFTER,12,352,723,0
AFTER,12,598,657,0
AFTER,12,613,457,0
AFTER,12,637,558,0
AFTER,12,713,552,0
AFTER,13,306,136,0
AFTER,13,350,639,0
AFTER,13,395,164,0
AFTER,13,495,205,0
AFTER,14,258,648,0
AFTER,14,272,420,0
AFTER,14,555,730,0
AFTER,15,81,183,0
AFTER,15,88,74,0
AFTER,15,119,635,0
AFTER,15,501,381,0
AFTER,15,738,103,0
AFTER,16,33,52,0
AFTER,16,60,423,0
AFTER,16,348,522,0
AFTER,16,369,8,0
AFTER,16,603,421,0
AFTER,17,66,501,0
AFTER,17,166,181,0
AFTER,17,175,483,0
AFTER,17,303,690,0
AFTER,17,333,98,0
AFTER,17,417,717,0
AFTER,17,432,652,0
AFTER,17,732,30,0
AFTER,18,37,16,0
AFTER,18,39,149,0
AFTER,18,169,571,0
AFTER,18,248,515,0
AFTER,18,257,150,0
AFTER,19,102,118,0
AFTER,19,114,99,0
AFTER,19,233,136,0
AFTER,19,389,444,0
AFTER,19,519,294,0
AFTER,20,151,164,0
AFTER,20,300,137,0
AFTER,20,570,230,0
AFTER,21,166,338,0
AFTER,21,380,663,0
AFTER,21,526,680,0
AFTER,21,590,183,0
AFTER,22,136,398,0
AFTER,22,532,75,0
AFTER,22,656,207,0
AFTER,22,689,554,0
AFTER,23,111,287,0
AFTER,23,123,354,0
AFTER,23,232,163,0
AFTER,23,659,450,0
AFTER,24,11,168,0
AFTER,24,215,603,0
AFTER,24,289,532,0
AFTER,24,602,68,0
AFTER,24,641,531,0
AFTER,25,10,101,0
AFTER,25,164,621,0
AFTER,25,168,312,0
AFTER,25,317,622,0
AFTER,25,528,463,0
AFTER,25,594,168,0
AFTER,25,680,153,0
AFTER,26,6,170,0
AFTER,26,203,717,0
